1,Bowery Estates,Montgomery,AL,36100,2008-01-06
3,Dogwood Drive,Sacramento,CA,94203,2008-01-08
5,Fir Street,Washington,DC,20510-0001,2008-01-10
7,The Highlands,Atlanta,GA,30026,2008-01-12
9,James Road,Springfield,IL,62700,2008-01-14
11,Larch Mont Road,Boston,MA,02138-7190,2008-01-16
13,New Pike Road,Trenton,NJ,8600,2008-01-18
15,Pine Place,Albany,NY,12200-2837,2008-01-20
17,Race Track Road,Harrisburg,PA,17100,2008-01-22
19,Tamarack Road,Salt Lake City,UT,84100,2008-01-24
21,Valley Road,Olympia,WA,98507,2008-01-26
23,Apple Lane,Juneau,AK,99801,2008-01-28
25,Cannery Row,Phoenix,AZ,85011,2008-01-30
27,Elm Street,Denver,CO,80201,2008-02-01
29,Goshen Road,Tallahassee,FL,32301,2008-02-03
31,Island Drive,Honolulu,HI,96800-3017,2008-02-05
33,King Street,Baton Rouge,LA,70800,2008-02-07
35,Maple Street,Annapolis,MD,21400,2008-02-09
37,Oak Drive,Carson City,NV,89701,2008-02-11
39,Queen Ann Drive,Salem,OR,97301,2008-02-13
41,Stoney Way,Austin,TX,73301,2008-02-15
43,University Lane,Richmond,VA,23173-1823,2008-02-17
45,Willow Road,Charleston,WV,25300,2008-02-19
47,Bowery Estates,Montgomery,AL,36100,2008-02-21
49,Dogwood Drive,Sacramento,CA,94203,2008-02-23
51,Fir Street,Washington,DC,20510-0001,2008-02-25
53,The Highlands,Atlanta,GA,30026,2008-02-27
55,James Road,Springfield,IL,62700,2008-02-29
57,Larch Mont Road,Boston,MA,02138-7190,2008-03-02
59,New Pike Road,Trenton,NJ,8600,2008-03-04
61,Pine Place,Albany,NY,12200-2837,2008-03-06
63,Race Track Road,Harrisburg,PA,17100,2008-03-08
65,Tamarack Road,Salt Lake City,UT,84100,2008-03-10
67,Valley Road,Olympia,WA,98507,2008-03-12
69,Apple Lane,Juneau,AK,99801,2008-03-14
71,Cannery Row,Phoenix,AZ,85011,2008-03-16
73,Elm Street,Denver,CO,80201,2008-03-18
75,Goshen Road,Tallahassee,FL,32301,2008-03-20
77,Island Drive,Honolulu,HI,96800-3017,2008-03-22
79,King Street,Baton Rouge,LA,70800,2008-03-24
81,Maple Street,Annapolis,MD,21400,2008-03-26
83,Oak Drive,Carson City,NV,89701,2008-03-28
85,Queen Ann Drive,Salem,OR,97301,2008-03-30
87,Stoney Way,Austin,TX,73301,2008-04-01
89,University Lane,Richmond,VA,23173-1823,2008-04-03
91,Willow Road,Charleston,WV,25300,2008-04-05
93,Bowery Estates,Montgomery,AL,36100,2008-04-07
95,Dogwood Drive,Sacramento,CA,94203,2008-04-09
97,Fir Street,Washington,DC,20510-0001,2008-04-11
99,The Highlands,Atlanta,GA,30026,2008-04-13
101,James Road,Springfield,IL,62700,2008-04-15
103,Larch Mont Road,Boston,MA,02138-7190,2008-04-17
105,New Pike Road,Trenton,NJ,8600,2008-04-19
107,Pine Place,Albany,NY,12200-2837,2008-04-21
109,Race Track Road,Harrisburg,PA,17100,2008-04-23
111,Tamarack Road,Salt Lake City,UT,84100,2008-04-25
113,Valley Road,Olympia,WA,98507,2008-04-27
115,Apple Lane,Juneau,AK,99801,2008-04-29
117,Cannery Row,Phoenix,AZ,85011,2008-05-01
119,Elm Street,Denver,CO,80201,2008-05-03
121,Goshen Road,Tallahassee,FL,32301,2008-05-05
123,Island Drive,Honolulu,HI,96800-3017,2008-05-07
125,King Street,Baton Rouge,LA,70800,2008-05-09
